,description,category,label
0,שמלת מיני גליטס דיטייל שרשראות,dresses_women,2
1,שמלת קולר טורי דיטייל כיווצים,dresses_women,2
2,שמלת כפתורים רפסודי,dresses_women,2
3,שמלת פוטר קוסטלו,dresses_women,2
4,שמלת כיווצים קרופורד,dresses_women,2
5,שמלת מידי ריב מחשוף גב,dresses_women,2
6,שמלת מיני אייבי פתחי קאט אאוט,dresses_women,2
7,שמלת מיני בייבז גימור סאטן,dresses_women,2
8,שמלת מיני כתפיות אבנים מנצנצות,dresses_women,2
9,שמלת כיווצים נובה דיטייל טבעת,dresses_women,2
10,שמלת מונור טקסטורת כיווצים,dresses_women,2
11,שמלת מיני קירה דיטייל קאפים,dresses_women,2
12,שמלת גינס מיסי אוף שולדרס,dresses_women,2
13,שמלת לורקס קימי שסע צידי,dresses_women,2
14,שמלת מיני דייז דיטייל כיווצים,dresses_women,2
15,שמלת גופייה דיטייל ניטים,dresses_women,2
16,שמלת סאטן מקינון שרוכי כיווץ,dresses_women,2
17,שמלת מיני דלגאדו גימור מנצנץ,dresses_women,2
18,שמלת טי שירט קולור בלוק,dresses_women,2
19,שמלת כיווצים גרייסון,dresses_women,2
20,שמלת מיני דרגונז גימור סאטן,dresses_women,2
21,שמלת מיני גאספר סיומת מלמלה,dresses_women,2
22,שמלת מיני הארלו קשירה בגב,dresses_women,2
23,שמלת מיני ריברה שרוכי קשירה,dresses_women,2
24,שמלת מיני נפטון שרוכי כיווץ,dresses_women,2
25,שמלת ברנדין וואן שולדר,dresses_women,2
26,שמלת ריב קלוס גב חשוף,dresses_women,2
27,שמלת טאי דאי שרוכי כיווץ,dresses_women,2
28,שמלה קרושה וואן שולדר טורינו,dresses_women,2
29,שמלת מגסטיק בשילוב אבנים מנצנצות,dresses_women,2
30,שמלת סקורפיו גב חשוף,dresses_women,2
31,שמלת מיני בארטון גב חשוף,dresses_women,2
32,שמלת ריינלור גב חשוף,dresses_women,2
33,שמלת קולר סטרייפס טקסטורת ריב,dresses_women,2
34,שמלת קרושה סונרו מחשוף גב,dresses_women,2
35,שמלת מידי שסעים כתפיות גורמט,dresses_women,2
36,שמלת כיווצים סטייפלס כתפיות שקופות,dresses_women,2
37,שמלת קטיפה לאופרד גב חשוף,dresses_women,2
38,שמלת וואן שולדר קריינול קאט אאוט,dresses_women,2
39,שמלת אוף שולדרס בשילוב כיווצים,dresses_women,2
40,שמלת מקסי רשת מטאלית,dresses_women,2
41,שמלת הארטון מנצנצת אוף שולדרס,dresses_women,2
42,שמלת דמוי עור מרקיורי וואן שולדר,dresses_women,2
43,שמלת טאקסון בשילוב קאפים,dresses_women,2
44,שמלת ארטלי בשילוב טופ שקפקף,dresses_women,2
45,שמלה קטיפתית מרסלו נקודות מנצנצות,dresses_women,2
46,שמלת סטרפלס ליקוויד גימור מבריק,dresses_women,2
47,שמלת קלייטון מנצנצת גב חשוף,dresses_women,2
48,שמלת פסים קלייסי גזרת טי שירט,dresses_women,2
49,שמלה שקפקפה הוט גליטר,dresses_women,2
50,שמלת טי שירט,dresses_women,2
51,שמלת כיווצים אברדין פתח קאט אאוט,dresses_women,2
52,שמלת טאי דאי האמפרי שרוכי כיווץ,dresses_women,2
53,שמלת גופייה סטרצית דיטייל לוגו,dresses_women,2
54,מכנסי טרנינג ביגי קורדורוי,trousers_women,11
55,מכנסי טרנינג בלאנקו שסע צידי,trousers_women,11
56,גינס ברניס שסעים צידיים,trousers_women,11
57,טרנינג טאי דאי ספלאש,trousers_women,11
58,טרנינג אייסי בד ניילון,trousers_women,11
59,גינס טולס כיסים צידיים,trousers_women,11
60,גינס ווש קמדן,trousers_women,11
61,גינס קרעים בליין,trousers_women,11
62,מכנסי טרנינג פוטר בלסון,trousers_women,11
63,מכנסי טייץ גומי מודפס,trousers_women,11
64,גינס וודו שסעים צידיים,trousers_women,11
65,גינס דייויס בשילוב קרעים,trousers_women,11
66,גינס גפרסון דיטייל חגורות,trousers_women,11
67,גינס וורד קרע קדמי,trousers_women,11
68,גינס מינקסי רצועות מצטלבות,trousers_women,11
69,מכנסי ויליס תיפורים מודגשים,trousers_women,11
70,מכנסי שורטס פוטר מקייני,trousers_women,11
71,טרנינג בד ניילון,trousers_women,11
72,טייץ גזרת בוקסר,trousers_women,11
73,מכנסי טרנינג הוט דרגונס,trousers_women,11
74,מכנסי טייץ קצרים,trousers_women,11
75,מכנסי טרנינג קולור בלוק,trousers_women,11
76,גינס קרעים,trousers_women,11
77,מכנסי דגמח הנסן,trousers_women,11
78,מכנסיים מתרחבים ליון דיטייל קאט אאוט,trousers_women,11
